,tags
0,['dairy-free']
1,"['vegetarian', 'dinner']"
2,"['dessert', 'vegetarian']"
3,['gluten-free']
4,"['italian', 'dinner']"
5,"['snack', 'vegetarian']"
6,"['dessert', 'vegetarian']"
7,['vegetarian']
8,"['dessert', 'vegetarian']"
9,['vegetarian']
10,[]
11,"['vegetarian', 'gluten-free']"
12,"['vegetarian', 'breakfast']"
13,"['dessert', 'vegetarian']"
14,['italian']
15,['gluten-free']
16,"['gluten-free', 'asian']"
17,"['italian', 'dinner', 'vegetarian', 'vegan']"
18,"['gluten-free', 'indian', 'vegetarian']"
19,"['italian', 'dinner', 'vegetarian']"
20,['italian']
21,['dinner']
22,"['thai', 'vegetarian', 'vegan']"
23,"['vegetarian', 'vegan']"
24,['dessert']
25,['lunch']
26,['snack']
27,"['vegetarian', 'dinner']"
28,"['asian', 'gluten-free', 'vegetarian', 'vegan', 'dairy-free']"
29,"['vegetarian', 'gluten-free']"
30,"['vegetarian', 'vegan', 'snack', 'dairy-free']"
31,"['italian', 'dinner', 'vegetarian']"
32,"['asian', 'dairy-free']"
33,"['dairy-free', 'vegetarian', 'indian', 'gluten-free']"
34,"['vegetarian', 'snack']"
35,"['vegetarian', 'vegan', 'dairy-free']"
36,"['italian', 'dinner']"
37,"['vegetarian', 'vegan', 'dairy-free', 'breakfast']"
38,"['vegetarian', 'italian', 'dinner']"
39,['gluten-free']
40,"['gluten-free', 'dairy-free']"
41,[]
42,"['gluten-free', 'italian']"
43,"['vegetarian', 'vegan', 'gluten-free', 'dairy-free']"
